question_id,type,difficulty,topic,question,option_a,option_b,option_c,option_d,correct_option,
32,Budgeting,MCQ,Hard,A budget is reviewed only once a year. What is the biggest risk of this approach?,Less paperwork,Missed spending issues,Higher savings,Better control,B,
33,Banking,MCQ,Medium,Why is maintaining a minimum bank balance important?,To earn rewards,To avoid penalties,To increase interest rate,To get loans faster,B,
34,Digital Payments,True or False,Hard,Approving a collect request on a payment app always means receiving money?,TRUE,FALSE,,,B,
35,Interest,MCQ,Hard,An investment earns compound interest. Why does time matter more than rate in long term growth?,Rate stays fixed,Growth accelerates over time,Interest stops later,Principal reduces,B,
36,Loans & Credit,MCQ,Hard,What is the main danger of delaying loan repayments frequently?,Lower monthly cost,Reduced stress,Increased total interest,Faster loan closure,C,
37,Insurance,MCQ,Medium,Why should insurance coverage be reviewed periodically?,To cancel policy,To match changing needs,To avoid claims,To reduce paperwork,B,
38,Investment,MCQ,Hard,An investor reacts emotionally to market falls and sells quickly. What is the likely result?,Higher long term returns,Reduced risk,Poor investment outcomes,Guaranteed profit,C,
39,Inflation,True or False,Hard,If inflation stays low then long term savings planning is unnecessary?,TRUE,FALSE,,,B,
40,Frauds & Financial Safety,MCQ,Hard,A call claims urgent account verification is needed. What is the safest response?,Share details quickly,Hang up and contact bank,Follow instructions,Transfer small amount,B,
41,Saving & Spending,MCQ,Hard,A student saves regularly but uses savings for impulse purchases. What is the main long term impact?,Better flexibility,Loss of financial discipline,Higher interest,Faster goal achievement,B,
42,Budgeting,MCQ,Hard,Why should emergency expenses be included while planning a budget?,They never occur,They reduce income,They prevent sudden financial pressure,They increase spending,C,
43,Banking,True or False,Medium,Bank deposits are generally safer than keeping large cash at home?,TRUE,FALSE,,,A,
44,Digital Payments,MCQ,Hard,A user enters payment details on a fake website. What risk is highest?,Slower payment,Data theft,App crash,Payment delay,B,
45,Interest,MCQ,Hard,Why does compound interest benefit long term savers more than short term savers?,Interest rate is higher,Time increases growth effect,Principal stays constant,Interest stops later,B,
46,Loans & Credit,MCQ,Hard,A borrower frequently misses due dates but pays later. What is the likely effect?,Lower interest,No impact,Credit score damage,Loan cancellation,C,
47,Insurance,True or False,Medium,Insurance helps transfer financial risk from individual to insurer?,TRUE,FALSE,,,A,
48,Investment,MCQ,Hard,Why is long term investing usually preferred over frequent trading?,Less paperwork,Lower emotional decisions,Guaranteed profits,No risk,B,
49,Inflation,MCQ,Hard,If inflation rises faster than savings growth what happens to future purchasing power?,It increases,It stays same,It decreases,It doubles,C,
50,Frauds & Financial Safety,MCQ,Hard,A message claims prize money and asks for bank details. What should be done?,Reply immediately,Share details,Delete and report,Forward to friends,C,
51,Saving & Spending,MCQ,Hard,A student increases savings rate but income remains fixed. What must change to sustain this habit long term?,Borrow money,Reduce unnecessary spending,Stop saving later,Increase wants,B,
52,Budgeting,MCQ,Hard,A budget ignores future goals like college fees. What is the biggest risk?,Short term comfort,Poor long term planning,Higher income,Lower expenses,B,
53,Digital Payments,True or False,Medium,Entering payment details on unsecured websites increases financial risk?,TRUE,FALSE,,,A,
54,Interest,MCQ,Hard,If compounding frequency increases while rate stays same what happens to final amount?,It decreases,It remains same,It increases,It becomes zero,C,
55,Loans & Credit,MCQ,Hard,A borrower takes a new loan to repay an old one repeatedly. What is this situation called?,Smart refinancing,Debt trap,Credit building,Asset creation,B,
56,Investment,MCQ,Hard,Why does starting investments early give advantage even with small amounts?,Higher risk,More time for compounding,Guaranteed returns,Lower inflation,B,
57,Inflation,True or False,Hard,Inflation affects savers more than spenders in the long term?,TRUE,FALSE,,,A,
58,Frauds & Financial Safety,MCQ,Hard,A fraud message creates urgency and fear. Why is this effective?,It offers rewards,It reduces logical thinking,It increases trust,It improves security,B,
59,Taxation,MCQ,Medium,Why should individuals understand basic income tax rules early?,To avoid earning,To plan finances better,To stop saving,To increase spending,B,
60,Entrepreneurship,MCQ,Hard,A student starts a small business without studying demand. What is the biggest risk?,High profit,Business failure,Faster growth,Low effort,B,
61,Saving & Spending,MCQ,Hard,A student plans to save for a laptop in one year. What is the most effective first step?,Buy accessories now,Estimate total cost and monthly saving,Borrow from friends,Wait for discounts only,B,
62,Budgeting,MCQ,Hard,A budget shows surplus every month but savings remain low. What is the most likely reason?,Income is low,Savings not allocated deliberately,Expenses are fixed,Inflation is zero,B,
63,Digital Payments,MCQ,Medium,Why should payment app notifications be reviewed regularly?,To reduce phone storage,To track errors or fraud,To increase rewards,To speed payments,B,
64,Interest,True or False,Hard,Higher compounding frequency always leads to higher total interest when rate and time are same?,TRUE,FALSE,,,A,
65,Loans & Credit,MCQ,Hard,What happens if credit is used for regular consumption instead of emergencies?,Wealth increases,Financial stress increases,Savings grow,Risk disappears,B,
66,Investment,MCQ,Hard,An investor ignores inflation while planning returns. What is the main mistake?,Overestimating real growth,Reducing risk,Increasing liquidity,Shortening time,A,
67,Inflation,MCQ,Hard,If inflation averages six percent annually what happens to money value over long periods?,It grows faster,It stays constant,It erodes steadily,It becomes irrelevant,C,
68,Frauds & Financial Safety,True or False,Medium,Scammers often use official looking messages to gain trust?,TRUE,FALSE,,,A,
69,Taxation,MCQ,Hard,Why can delaying tax planning increase financial burden later?,Lower income,Missed exemptions,Higher savings,Reduced paperwork,B,
70,Entrepreneurship,MCQ,Hard,A student business prices products without calculating costs. What is the biggest danger?,Faster sales,Operating at a loss,Brand growth,Customer loyalty,B,
71,Saving & Spending,MCQ,Hard,A student increases income through freelancing but lifestyle expenses also rise. What concept explains this problem?,Forced saving,Lifestyle inflation,Budget surplus,Passive income,B,
72,Budgeting,MCQ,Hard,Why should long term goals be broken into monthly budget targets?,To reduce effort,To make goals achievable,To avoid saving,To increase spending,B,
73,Digital Payments,True or False,Medium,Saving card details on unsecured websites increases fraud risk?,TRUE,FALSE,,,A,
74,Interest,MCQ,Hard,An investment doubles faster due to compounding. What factor mainly causes this effect?,Higher tax,Time and reinvestment,Fixed principal,Lower rate,B,
75,Loans & Credit,MCQ,Hard,Why is credit card interest usually higher than loan interest?,Shorter tenure,Unsecured nature,Government rules,Higher limits,B,
76,Investment,MCQ,Hard,An investor chooses safety only and ignores growth. What risk does this create over time?,Market loss,Inflation risk,Liquidity risk,Default risk,B,
77,Inflation,True or False,Hard,Inflation impacts future expenses more than present expenses?,TRUE,FALSE,,,A,
78,Frauds & Financial Safety,MCQ,Hard,A scam message avoids giving verifiable contact details. Why is this a warning sign?,It saves time,It prevents verification,It increases trust,It is legal,B,
79,Taxation,MCQ,Hard,Why does higher income without tax planning reduce net savings?,More spending,Higher tax outflow,Lower income,Fewer goals,B,
80,Entrepreneurship,MCQ,Hard,A student business grows sales but profits remain low. What is the most likely issue?,Weak demand,Poor cost control,High marketing,Low effort,B,
81,Saving & Spending,MCQ,Hard,A student receives a bonus and spends it immediately. What principle is being ignored?,Emergency planning,Delayed gratification,Passive income,Budget review,B,
82,Budgeting,MCQ,Hard,Why should budgets be adjusted when income changes?,To increase work,To maintain financial balance,To stop saving,To raise expenses,B,
83,Digital Payments,MCQ,Medium,Why should payment app permissions be checked regularly?,To save battery,To limit data misuse,To speed transactions,To increase rewards,B,
84,Interest,True or False,Hard,Compound interest benefits early investors more than late investors?,TRUE,FALSE,,,A,
85,Loans & Credit,MCQ,Hard,What happens when loan tenure is increased without changing rate?,EMI increases,Total interest increases,Loan ends early,Risk disappears,B,
86,Investment,MCQ,Hard,Ignoring asset allocation in investing leads to what problem?,Guaranteed loss,Unbalanced risk exposure,Faster growth,Higher liquidity,B,
87,Inflation,MCQ,Hard,If inflation stays higher than returns for many years what is the result?,Wealth grows,Wealth remains same,Wealth declines,Wealth doubles,C,
88,Frauds & Financial Safety,True or False,Medium,Fraud attempts often create urgency to force quick decisions?,TRUE,FALSE,,,A,
89,Taxation,MCQ,Hard,Why is tax saving planning usually done before financial year ends?,To earn interest,To reduce taxable income legally,To avoid income,To increase expenses,B,
90,Entrepreneurship,MCQ,Hard,A business grows revenue but cash flow remains weak. What is the main issue?,Low demand,Poor cash management,High profit,Strong pricing,B,
91,Saving & Spending,MCQ,Hard,A student prioritizes wants over needs regularly. What is the most likely long term outcome?,Faster happiness,Financial instability,Higher savings,Better control,B,
92,Budgeting,MCQ,Hard,Why should fixed expenses be reviewed periodically in a budget?,They never change,Income may change,To increase spending,To remove savings,B,
93,Digital Payments,True or False,Medium,Using biometric authentication improves payment security?,TRUE,FALSE,,,A,
94,Interest,MCQ,Hard,An investment grows slowly at first then faster later. What explains this pattern?,Simple interest,Compounding effect,Rate reduction,Inflation drop,B,
95,Loans & Credit,MCQ,Hard,Why is missing even one loan payment risky?,EMI increases,Credit score impact,Loan ends early,Interest stops,B,
96,Investment,MCQ,Hard,Investing without a clear goal usually leads to what problem?,Guaranteed loss,Poor decision making,Higher returns,Faster growth,B,
97,Inflation,True or False,Hard,Rising inflation makes future financial planning more important?,TRUE,FALSE,,,A,
98,Frauds & Financial Safety,MCQ,Hard,A fraud call asks for secrecy and urgency. Why is this dangerous?,It saves time,It blocks verification,It increases rewards,It lowers risk,B,
99,Taxation,MCQ,Hard,Why does higher tax slab reduce take home income growth?,Lower salary,Higher deductions,Higher tax rate,Reduced savings,C,
100,Entrepreneurship,MCQ,Hard,A startup focuses only on sales and ignores costs. What is the biggest risk?,Fast growth,Profit loss,Strong branding,Customer trust,B,
101,Financial Planning,MCQ,Hard,Why is setting clear financial goals important for long term planning?,It increases income,It guides financial decisions,It removes risk,It guarantees returns,B,
102,Risk Management,MCQ,Hard,What is the main purpose of managing financial risk?,To avoid earning,To reduce possible losses,To increase spending,To remove planning,B,
103,Digital Payments,True or False,Medium,Using public devices for online payments increases security risk?,TRUE,FALSE,,,A,
104,Interest,MCQ,Hard,Why does compounding reward patience more than frequent withdrawals?,Rate increases,Money stays invested longer,Tax reduces,Inflation stops,B,
105,Loans & Credit,MCQ,Hard,Taking credit without repayment planning leads to what outcome?,Faster growth,Debt accumulation,Higher savings,Lower stress,B,
106,Investment,MCQ,Hard,Why should investment choices match financial goals?,To avoid income,To align risk and time,To reduce returns,To stop compounding,B,
107,Inflation,True or False,Hard,Inflation makes future expenses harder to predict?,TRUE,FALSE,,,A,
108,Frauds & Financial Safety,MCQ,Hard,A fraud scheme promises guaranteed returns. Why is this a warning sign?,Returns are fast,Guarantees are unrealistic,It is legal,It is insured,B,
109,Taxation,MCQ,Hard,Why does ignoring tax planning reduce effective returns?,Higher income,Missed deductions,Lower expenses,Faster refunds,B,
110,Entrepreneurship,MCQ,Hard,A business expands rapidly without systems. What risk increases most?,Brand value,Operational failure,Customer demand,Profit margin,B,
111,Financial Planning,MCQ,Hard,Why should emergency funds be part of a financial plan?,To increase income,To handle unexpected expenses,To avoid investing,To reduce taxes,B,
112,Risk Management,MCQ,Hard,Which action best reduces financial risk over time?,Spending more,Diversifying income sources,Ignoring losses,Avoiding planning,B,
113,Digital Payments,MCQ,Medium,Why should transaction histories be checked regularly?,To save data,To detect errors or fraud,To increase rewards,To slow spending,B,
114,Interest,True or False,Hard,Longer investment duration increases the power of compounding?,TRUE,FALSE,,,A,
115,Loans & Credit,MCQ,Hard,What is the biggest risk of delaying loan repayments repeatedly?,Lower EMI,Higher total interest,Faster closure,No effect,B,
116,Investment,MCQ,Hard,Why is matching risk level to time horizon important in investing?,To increase tax,To reduce volatility impact,To avoid saving,To stop growth,B,
117,Inflation,MCQ,Hard,If inflation rises unexpectedly what is the immediate effect on savings?,Value increases,Value decreases,No change,Value doubles,B,
118,Frauds & Financial Safety,True or False,Medium,Genuine financial institutions ask for confidential details over calls?,TRUE,FALSE,,,B,
119,Taxation,MCQ,Hard,Why can delayed tax filing create financial issues?,Faster refunds,Penalties and interest,Higher income,Lower tax,B,
120,Entrepreneurship,MCQ,Hard,A business owner ignores cash reserves during growth. What risk increases?,Brand loyalty,Cash shortage,Market share,Profit margin,B,
121,Financial Planning,MCQ,Hard,Why is reviewing a financial plan regularly important?,To track progress,To increase spending,To ignore goals,To reduce savings,A,
122,Risk Management,MCQ,Hard,What is the effect of concentrating all investments in one asset?,Lower risk,Higher risk,Guaranteed returns,Better liquidity,B,
123,Digital Payments,MCQ,Medium,Why is two factor authentication recommended for payment apps?,Faster transactions,Extra security layer,Lower fees,To increase rewards,B,
124,Interest,MCQ,Hard,Which factor makes compound interest more effective than simple interest over long term?,Rate alone,Time and reinvestment,Principal reduces,Tax benefits,B,
125,Loans & Credit,MCQ,Hard,Using credit for non essential expenses regularly can cause what?,Lower stress,Debt accumulation,Faster repayment,Higher credit score,B,
126,Investment,True or False,Hard,Diversifying investments helps in reducing total risk?,TRUE,FALSE,,,A,
127,Inflation,MCQ,Hard,What happens to purchasing power if income growth is lower than inflation?,Increases,Stays same,Decreases,Doubles,C,
128,Frauds & Financial Safety,MCQ,Hard,Which action reduces risk of online payment fraud?,Ignoring updates,Using verified apps only,Sharing OTP with friends,Clicking all links quickly,B,
129,Taxation,MCQ,Hard,Why is planning deductions important for salaried individuals?,To avoid paying taxes illegally,To reduce taxable income legally,To increase salary,To delay payments,B,
130,Entrepreneurship,MCQ,Hard,What is the main risk of launching a product without market research?,Higher sales,Product failure,Increased profits,Better branding,B,
131,Financial Planning,MCQ,Hard,Why should short term and long term goals be planned separately?,To reduce effort,To prioritize resources effectively,To avoid investing,To increase spending,B,
132,Risk Management,MCQ,Hard,What is the main benefit of insurance in personal finance?,Reduces future financial loss,Increases daily income,Avoids budgeting,Guarantees profit,A,
133,Digital Payments,MCQ,Medium,Why is it important to update payment apps regularly?,Faster payments,To fix security vulnerabilities,To increase cashback,To reduce bank charges,B,
134,Interest,MCQ,Hard,How does reinvesting earned interest affect total returns?,Reduces returns,Increases returns due to compounding,No effect,Stops growth,B,
135,Loans & Credit,MCQ,Hard,What is the main risk of taking a loan without reading terms carefully?,Lower interest,Hidden charges and penalties,Faster repayment,Higher credit score,B,
136,Investment,MCQ,Hard,Why is long term investing usually less risky than short term speculation?,Time reduces market volatility impact,Tax is lower,Returns are fixed,Investment stops,A,
137,Inflation,True or False,Hard,Inflation reduces the value of money over time?,TRUE,FALSE,,,A,
138,Frauds & Financial Safety,MCQ,Hard,Which behaviour increases risk of online scams?,Verifying sources,Sharing personal details with unknown contacts,Using official apps,Logging out after use,B,
139,Taxation,MCQ,Hard,Why should individuals keep proof of investments and expenses for tax purposes?,To reduce taxable income legally,To avoid savings,To increase spending,To ignore taxes,A,
140,Entrepreneurship,MCQ,Hard,What is the risk of starting a business without a clear revenue model?,Higher customer satisfaction,Business may fail financially,Faster growth,Lower risk,B,
141,Financial Planning,MCQ,Hard,Why is it important to plan for retirement early?,To increase short term spending,To ensure sufficient funds later,To avoid taxes,To reduce work hours,B,
142,Risk Management,MCQ,Hard,How does diversification reduce investment risk?,By concentrating assets,By spreading investments across different assets,By avoiding taxes,By ignoring market trends,B,
143,Digital Payments,MCQ,Medium,Why is avoiding public Wi-Fi important while making payments?,Faster transactions,Reduces risk of data theft,More rewards,Better tracking,B,
144,Interest,MCQ,Hard,Which factor increases the effect of compound interest the most?,Short duration,Frequent reinvestment of interest,Low principal,Fixed rate,B,
145,Loans & Credit,MCQ,Hard,Why is paying only minimum credit card dues risky?,Interest stops,Total interest increases significantly,Credit score improves,Loan closes faster,B,
146,Investment,MCQ,Hard,What is the main reason for matching investment type to financial goal?,To increase paperwork,To align risk and returns,To stop inflation,To reduce principal,B,
147,Inflation,MCQ,Hard,What happens if expenses grow faster than income over years?,Purchasing power increases,Purchasing power declines,Income grows automatically,Expenses stay constant,B,
148,Frauds & Financial Safety,MCQ,Hard,Why should unknown links in messages not be clicked?,Faster browsing,May lead to fraud or malware,Reduces bank balance,Improves rewards,B,
149,Taxation,MCQ,Hard,Why is calculating taxable income accurately important?,To pay less illegally,To comply with laws and avoid penalties,To increase spending,To reduce savings,B,
150,Entrepreneurship,MCQ,Hard,A business grows without monitoring expenses. What is the likely result?,Strong cash flow,Profit erosion,Better brand image,Faster market entry,B,
151,Financial Planning,MCQ,Hard,Why should short term savings and long term goals be planned separately?,To increase spending,To prioritize resources effectively,To reduce taxes,To avoid investing,B,
152,Risk Management,MCQ,Hard,What is the main advantage of having insurance coverage?,To increase income,To reduce potential financial loss,To avoid budgeting,To guarantee profits,B,
153,Economic Systems,MCQ,Hard,Which economic system allows private businesses to operate with limited government control?,Command economy,Mixed economy,Market economy,Traditional economy,C,
154,Interest,MCQ,Hard,Why does compound interest grow faster over longer periods?,Rate decreases,Principal reduces,Interest reinvestment increases total,Inflation drops,C,
155,Loans & Credit,MCQ,Hard,Taking multiple loans simultaneously without plan can lead to what?,Debt accumulation,Better credit score,Reduced interest,Faster closure,A,
156,Investment,MCQ,Hard,Why is diversification important in investing?,Guarantees profits,Reduces total risk,Stops inflation,Avoids taxes,B,
157,Inflation,MCQ,Hard,If prices rise faster than income what happens to real purchasing power?,Increases,Remains same,Decreases,Doubles,C,
158,Global Finance,MCQ,Hard,Why do currency exchange rates fluctuate daily?,Government rules only,Market demand and supply,Inflation always fixed,Population growth,B,
159,Taxation,MCQ,Hard,Why is maintaining proper investment records useful for taxes?,To delay filing,To claim deductions correctly,To ignore taxes,To reduce spending,B,
160,Entrepreneurship,MCQ,Hard,A new business ignores market research before launching. What is the biggest risk?,Faster sales,Product failure,Customer loyalty,Increased profits,B,
161,Financial Planning,MCQ,Hard,Why is tracking monthly expenses important in a financial plan?,To increase spending,To monitor progress and adjust plan,To avoid taxes,To reduce savings,B,
162,Risk Management,MCQ,Hard,Which action best protects investments from market volatility?,Concentrating in one asset,Diversifying portfolio,Ignoring losses,Investing in cash only,B,
163,Economic Systems,MCQ,Hard,In which economic system does government control most resources?,Market economy,Mixed economy,Command economy,Traditional economy,C,
164,Interest,MCQ,Hard,How does reinvesting interest affect total returns in the long term?,Reduces returns,Increases returns due to compounding,Stops growth,Decreases principal,B,
165,Loans & Credit,MCQ,Hard,Why is reading loan terms carefully crucial?,To reduce paperwork,To avoid hidden fees and high interest,To increase borrowing,To stop repayments,B,
166,Investment,MCQ,Hard,What is the main risk of investing without understanding your time horizon?,Inflation risk,Liquidity risk,Mismatched risk and returns,Tax saving,C,
167,Inflation,MCQ,Hard,What happens to savings if inflation consistently exceeds interest earned?,Value grows,Value declines,No change,Value doubles,B,
168,Global Finance,MCQ,Hard,Why do international trade imbalances affect currency values?,Only domestic laws matter,Supply and demand for currencies,Inflation stops,Tax rates remain same,B,
169,Taxation,MCQ,Hard,Why is early tax planning important for salaried individuals?,To increase salary,To claim deductions and reduce tax liability,To ignore payments,To delay filing,B,
170,Entrepreneurship,MCQ,Hard,What is the main danger of launching a business without a budget?,Higher profit,Running out of cash,Stronger brand,Better marketing,B,
171,Financial Planning,MCQ,Hard,Why should financial goals be prioritized based on importance and urgency?,To spend faster,To allocate resources effectively,To avoid investing,To reduce paperwork,B,
172,Risk Management,MCQ,Hard,How does emergency fund reduce personal financial risk?,Increases income,Covers unexpected expenses without debt,Guarantees returns,Stops inflation,B,
173,Economic Systems,MCQ,Hard,Which system combines private ownership with government regulation?,Command economy,Mixed economy,Market economy,Traditional economy,B,
174,Interest,MCQ,Hard,Why does starting an investment early increase compound interest benefits?,Rate reduces,Time allows interest to compound multiple times,Principal decreases,Inflation drops,B,
175,Loans & Credit,MCQ,Hard,What is the impact of paying only minimum credit card dues repeatedly?,Lower total interest,Total interest increases significantly,Loan closes faster,Credit score improves,B,
176,Investment,MCQ,Hard,Why should investments be aligned with personal financial goals?,To reduce taxes,To match risk and expected returns,To avoid interest,To stop growth,B,
177,Inflation,MCQ,Hard,If inflation rises faster than wages what is the effect on standard of living?,It improves,It declines,No change,It doubles,B,
178,Global Finance,MCQ,Hard,Why do central banks intervene in foreign exchange markets?,To increase population,To stabilize currency values,To reduce taxes,To stop imports,B,
179,Taxation,MCQ,Hard,Why should investment proofs be maintained for tax filing?,To ignore taxes,To claim eligible deductions,To spend more,To delay payments,B,
180,Entrepreneurship,MCQ,Hard,What is the main risk of expanding a business without proper cash flow management?,Higher profits,Business may run out of cash,Better brand image,Faster market entry,B,
181,Financial Planning,MCQ,Hard,Why is reviewing financial plans after major life changes important?,To ignore goals,To adjust plans according to new circumstances,To reduce taxes,To increase spending,B,
182,Risk Management,MCQ,Hard,How does insurance reduce personal financial uncertainty?,Increases income,Transfers risk to insurer,Guarantees profits,Stops inflation,B,
183,Economic Systems,MCQ,Hard,Which economy relies mostly on tradition and customs for production and distribution?,Market economy,Command economy,Mixed economy,Traditional economy,D,
184,Interest,MCQ,Hard,How does reinvesting earned interest affect long term wealth?,Reduces principal,Increases total returns due to compounding,Stops growth,Lowers inflation,B,
185,Loans & Credit,MCQ,Hard,Why is comparing loan interest rates before borrowing important?,To reduce total repayment,To increase taxes,To ignore terms,To stop payments,A,
186,Investment,MCQ,Hard,What is the risk of investing without understanding market volatility?,Lower returns,Higher risk of loss,Guaranteed profit,Reduced interest,B,
187,Inflation,MCQ,Hard,How does persistent high inflation affect savings in fixed deposit accounts?,Value increases,Value declines in real terms,No effect,Value doubles,B,
188,Global Finance,MCQ,Hard,Why do global economic events affect local stock markets?,Only local laws matter,Market integration and investor sentiment,Taxes are fixed,Inflation stops,B,
189,Taxation,MCQ,Hard,Why is proper record keeping for tax deductions important?,To avoid mistakes and penalties,To reduce income,To ignore taxes,To increase spending,A,
190,Entrepreneurship,MCQ,Hard,What is the main danger of launching multiple products without market research?,Faster brand growth,Resource wastage and low sales,Better market share,Lower costs,B,
191,Financial Planning,MCQ,Hard,Why should financial goals be realistic and measurable?,To reduce effort,To make them achievable and trackable,To ignore progress,To increase spending,B,
192,Risk Management,MCQ,Hard,How does maintaining an emergency fund reduce financial stress?,Provides funds for unexpected needs,Guarantees profit,Stops inflation,Increases daily income,A,
193,Economic Systems,MCQ,Hard,Which economic system focuses on private ownership and free markets?,Command economy,Market economy,Mixed economy,Traditional economy,B,
194,Interest,MCQ,Hard,How does longer investment duration affect compound interest growth?,Reduces returns,Increases total returns due to time effect,Stops growth,Lowers principal,B,
195,Loans & Credit,MCQ,Hard,Why is it risky to borrow more than you can repay?,Lowers interest,Debt accumulation and financial stress,Guarantees returns,Faster repayment,B,
196,Investment,MCQ,Hard,Why should investors review portfolio periodically?,To ignore market,To rebalance risk and returns,To stop compounding,To increase taxes,B,
197,Inflation,MCQ,Hard,If inflation rises faster than income growth what happens to purchasing power?,Increases,Declines,No change,Doubles,B,
198,Global Finance,MCQ,Hard,Why do changes in foreign exchange rates affect import and export costs?,Only local taxes matter,Currency value impacts trade prices,Inflation stops,Population increases,B,
199,Taxation,MCQ,Hard,Why should taxpayers claim all eligible deductions?,To reduce taxable income legally,To ignore taxes,To increase spending,To delay filing,A,
200,Entrepreneurship,MCQ,Hard,What is the risk of starting a business without a proper budget plan?,Higher revenue,Running out of cash,Better brand image,Faster growth,B,
201,Financial Planning,MCQ,Hard,Why is reviewing a financial plan after income changes important?,To ignore goals,To adjust plan according to new income,To reduce taxes,To spend more,B,
